Telepules;Kod
"Recsk";128
"Rózsaszentmárton";44
"Sarud";52
"Sirok";128
"Szajla";128
"Szarvaskő";32
"Szentdomonkos";128
"Szihalom";100
"Szilvásvárad";134
"Szúcs";128
"Szűcsi";44
"Tarnabod";30
"Tarnalelesz";128
"Tarnaméra";51
"Tarnaörs";51
"Tarnaszentmária";32
"Tarnaszentmiklós";52
"Tarnazsadány";43
"Tenk";51
"Terpes";128
"Tiszanána";52
"Tófalu";30
"Újlőrincfalva";52
"Vámosgyörk";43
"Váraszó";128
"Verpelét";31
"Vécs";31
"Visonta";44
"Visznek";43
"Zagyvaszántó";169
"Zaránk";51
"Abádszalók";183
"Alattyán";59
"Berekfürdő";70
"Besenyszög";172
"Cibakháza";104
"Csataszög";172
"Cserkeszőlő";104
"Csépa";104
"Fegyvernek";172
"Hunyadfalva";172
